k,inertia,silhouette
2,612.6404532965643,0.3283523096992405
3,489.44889107171343,0.28254394638007785
4,403.835554835332,0.24243466172199624
5,343.3565655425725,0.23410510488501582
6,295.50200561920184,0.2545462486469031
7,255.5179628359225,0.25960960988396603
8,225.23059601065796,0.289348472926223
