variable,CP1,CP2,CP3,CP4,CP5,CP6,CP7,CP8,CP9,CP10
energy_per_capita,-0.12015495863025337,0.5249351668944692,0.17211435830459523,0.25208380882928794,0.3720923730198411,-0.19390554436307364,-0.6639157802114694,1.8922034775290105e-06,-7.3411773762781514e-06,-9.39056707603484e-17
energy_per_gdp,-0.009143632693044969,0.5121755512566505,-0.22575727183002944,0.07781744206374054,-0.1247225736055642,0.8124355598454521,0.07045168076444837,-1.3314115449607063e-07,3.449221916088834e-06,-6.0449283183011655e-18
fossil_share_energy,0.5082942257489468,0.07260127545247416,0.0340307555364271,0.13305573883955954,0.08491504991353559,-0.037524630637923086,0.08330735477835324,0.4446064360709378,-0.06534868744903069,0.7071067811857854
renewables_share_energy,-0.4698630786082888,-0.04118105442352076,0.11940344740527317,0.06666014505802022,-0.4202322119834764,-0.006209438820591612,-0.12496832239096142,0.6687383477256794,0.3455001034541266,-1.1183692677231514e-12
nuclear_share_energy,-0.21683136356315602,-0.08628959013963207,-0.33633870274852523,-0.4613437531761303,0.6927874688861122,0.10325009347669399,0.06677124700858728,0.31348362174251443,0.16196001195115695,-5.243256474318592e-13
coal_share_energy,0.06888333321950296,-0.2744879968701398,-0.49114762227099745,0.6366293768672368,0.1216472213362447,-0.0009202520597913921,-0.04665662526139795,-0.12947283824290684,0.4895401166194948,2.5120928476131893e-13
oil_share_energy,0.10583954813252106,-0.20283786070221838,0.719629901922228,0.03611028017881153,0.2691979221720384,0.3611648618236248,0.06612079920850733,-0.12025679819714143,0.45468935321078463,2.3332114403561774e-13
gas_share_energy,0.28802977759444254,0.4181633802014023,-0.10933471068417681,-0.40978364041385296,-0.21813120042666742,-0.2899393219909878,0.05698538029960233,-0.16715968960997674,0.6320330666441772,3.243008145338169e-13
low_carbon_share_energy,-0.5082942257489464,-0.07260127545247404,-0.03403075553642712,-0.1330557388395596,-0.0849150499135355,0.03752463063792311,-0.08330735477835347,-0.4446064360685273,0.0653486874489425,0.7071067811873095
electricity_demand_per_capita,-0.31946503853935027,0.3887005808413121,0.13662338545882666,0.3212247787000698,0.20043461970360266,-0.2726317140482812,0.7144932129687375,-1.289138850215654e-06,6.233347240723805e-06,9.443439827479394e-17
