country,iso_code,year,energy_per_capita,energy_per_gdp,fossil_share_energy,renewables_share_energy,nuclear_share_energy,coal_share_energy,oil_share_energy,gas_share_energy,low_carbon_share_energy,electricity_demand_per_capita
Algeria,DZA,2022,-0.7019107990328245,-0.1595291421256361,1.1161037287432625,-0.9989222922947529,-0.5460672382030854,-0.8142906874519554,-0.5206341314029154,1.9220427537475715,-1.116103728743262,-0.7099097129507044
Argentina,ARG,2022,-0.5452768410318344,-0.23218493419665392,0.32941593206056236,-0.2341041423215892,-0.29057724759459647,-0.7407556368831569,-0.016668002459848657,0.8562820588864116,-0.329415932060562,-0.48704704579414015
Australia,AUS,2022,0.5512773204435736,-0.15595590645001212,0.3644606621784545,-0.1538053771274962,-0.5460672382030854,0.7591512188902441,-0.2820000716548577,-0.08574928729443095,-0.3644606621784542,0.5181704844316626
Austria,AUT,2022,-0.01281360382632958,-0.4870757457244873,-0.8991703231433019,1.2669699452679064,-0.5460672382030854,-0.3607122906046127,-0.18219566103094598,-0.3280861871627409,0.8991703231433025,0.1779121210300356
Azerbaijan,AZE,2022,-0.5883703249998712,-0.19883473455749814,1.0029444683955377,-0.8716906190688658,-0.5460672382030854,-0.8324142303065468,-0.3841776386740535,1.7449613478555426,-1.0029444683955377,-0.6259666965886347
Bangladesh,BGD,2022,-1.0499934885113271,-0.915864026799347,1.0892572715689297,-0.9687372269631012,-0.5460672382030854,-0.16986403696352637,-0.41878616943861985,1.327629700332817,-1.0892572715689293,-0.8994059109901611
Belarus,BLR,2022,-0.2524942112307513,0.4300547443522962,0.843770957794173,-0.9392662169403702,-0.020270222300411957,-0.6126662731946255,-0.5431791171581187,1.5584425558433972,-0.8437709577941723,-0.41644957209993316
Belgium,BEL,2022,0.45219918311361035,0.06201146976304137,-0.37632835288361244,-0.3362789656162556,1.6199893651020552,-0.5473970276439684,0.6160418609274058,-0.32832330741701515,0.37632835288361277,0.08849268913065889
Brazil,BRA,2022,-0.6594972399195785,-0.23218493419665392,-1.6789877361620327,2.080084199771713,-0.41022134075759625,-0.5590916110400055,-0.04501403718130303,-0.9137257911693472,1.6789877361620333,-0.5173952672894355
Bulgaria,BGR,2022,-0.23872294090801024,0.34787032381294786,-0.5920237593423354,-0.2330655164177044,1.9170224436143635,1.123030324244423,-0.8204428893405308,-0.7659050246547636,0.5920237593423363,-0.18372941503060405
Canada,CAN,2022,1.5788412993625724,1.0541799090279251,-0.8893554893376319,0.9010490565054957,0.2109863003641823,-0.6641591770483802,-0.5482550350035884,0.17835525191625734,0.8893554893376324,1.298006657886123
Chile,CHL,2022,-0.44710366084347064,-0.2893567050066353,-0.37638608720011585,0.679172597788107,-0.5460672382030854,-0.01575269451417953,0.4712133998040677,-0.6359631253124605,0.37638608720011674,-0.3178630620947236
China,CHN,2022,-0.30160189064097864,0.33953277390315906,0.11631856984451604,-0.025859648592688377,-0.22383135302912677,2.554055471533313,-1.3329787497110142,-0.9237322658997216,-0.11631856984451565,-0.09381710137879055
Colombia,COL,2022,-0.8086091296448553,-0.6204765442811103,-0.5094636867417002,0.8287996420665099,-0.5460672382030854,-0.3422826068234233,0.29131496083930253,-0.3629428645410594,0.5094636867417007,-0.7599778488944927
Croatia,HRV,2022,-0.49763016046588204,-0.541865359417386,-0.3171506784670726,0.6125707117014948,-0.5460672382030854,-0.5177013577639791,0.2657376085790136,-0.05070291371269312,0.3171506784670733,-0.2956247483033914
Cyprus,CYP,2022,-0.4990977115882239,-0.5251902595978081,0.6809601852530589,-0.5096645774460231,-0.5460672382030854,-0.7633488372660767,3.447744808589719,-1.3297295652681365,-0.6809601852530587,-0.42022093026750323
Czechia,CZE,2022,-0.014902427630158975,-0.06900717167649896,-0.289726878127701,-0.5271264754550861,1.819396187040388,1.284366592561479,-0.9550535937619489,-0.5457151565356712,0.28972687812770126,-0.039034223465653876
Denmark,DNK,2022,-0.2573483085983556,-0.8539279417552006,-1.2258310859226,1.6342540305291662,-0.5460672382030854,-0.4410436697438828,0.33350440786658353,-0.9051894620154732,1.2258310859226007,-0.09569849895147534
Ecuador,ECU,2022,-0.7987319816343099,-0.11188599978398496,-0.5118885280348658,0.8315260350642073,-0.5460672382030854,-0.8100659426649053,1.974410213183892,-1.2134457925720317,0.5118885280348662,-0.7222255159149337
Egypt,EGY,2022,-0.8687089319621095,-0.7217182217571189,0.8009320949482485,-0.6445561167130603,-0.5460672382030854,-0.7646346291577876,-0.024314839733543307,1.267638276001425,-0.800932094948248,-0.7163511375492458
Estonia,EST,2022,0.11367536540173835,0.2585394319223521,0.36480706807747815,-0.154194861841453,-0.5460672382030854,2.4967458900741986,-0.845558794523959,-1.0258836714410795,-0.3648070680774778,0.07600794789792654
Finland,FIN,2022,0.39510727434069826,0.05962931264595882,-2.0287999598594113,1.251585299066613,2.1961919943280295,-0.1844975732549025,-0.49314506982420275,-1.168819760717613,2.028799959859412,1.2133974674240284
France,FRA,2022,-0.20715517933411046,-0.5990371302273673,-1.4993185432017686,-0.12271151412994517,3.857915510480803,-0.6592609222228151,-0.27257336708469954,-0.5248485741595348,1.4993185432017693,0.0649156411566188
Germany,DEU,2022,-0.040083283207859054,-0.5740244804980005,-0.188403152663284,0.30591641357950994,-0.2007057007626673,0.316471439029784,-0.16426514604435166,-0.2817054654266925,0.18840315266328486,-0.06221983972994089
