variable,porcentaje_disponible
country,100.0
year,100.0
population,80.82303118449758
oil_production,76.96453779355778
oil_prod_change_twh,75.83950036360525
iso_code,73.8546434529666
gas_production,73.79475552893871
gas_prod_change_twh,72.67827351670445
coal_production,71.95961842836977
coal_prod_change_twh,70.84741412499466
oil_prod_per_capita,66.62103777216922
gas_prod_per_capita,64.28540873508149
coal_prod_per_capita,63.344312786071775
primary_energy_consumption,56.70103092783505
energy_cons_change_twh,55.516105573854645
energy_cons_change_pct,54.519399409676176
gdp,50.391410360610855
energy_per_capita,47.42268041237113
nuclear_electricity,43.5984086923044
oil_prod_change_pct,43.55563160371305
coal_prod_change_pct,42.44342730033794
solar_electricity,41.557941566496986
low_carbon_electricity,41.48522051589169
renewables_electricity,41.48522051589169
other_renewable_electricity,41.3654446678359
hydro_electricity,41.078838174273855
wind_electricity,40.66817812379689
nuclear_elec_per_capita,38.884373529537584
solar_elec_per_capita,36.843906403730166
low_carbon_elec_per_capita,36.77118535312487
renewables_elec_per_capita,36.77118535312487
other_renewables_elec_per_capita,36.65140950506908
hydro_elec_per_capita,36.364803011507036
wind_elec_per_capita,35.95414296103007
gas_prod_change_pct,34.662274885571286
biofuel_consumption,34.465500278051074
electricity_generation,33.84951020233563
biofuel_cons_change_twh,33.80673311374428
energy_per_gdp,33.716901227702444
low_carbon_share_elec,33.67412413911109
renewables_share_elec,33.67412413911109
solar_share_elec,33.66129101253369
nuclear_consumption,33.61851392394234
other_renewables_share_elec,33.554348291055305
hydro_share_elec,33.26774179749326
nuclear_share_elec,33.01535697480429
nuclear_cons_change_twh,33.011079265945156
wind_share_elec,32.771527569833594
fossil_electricity,30.83372545664542
fossil_share_elec,30.72250502630791
coal_electricity,30.66261710228002
oil_electricity,30.572785216238184
coal_share_elec,30.55139667194251
oil_share_elec,30.46156478590067
per_capita_electricity,30.24767934294392
gas_electricity,30.050904735423707
gas_share_elec,29.939684305086196
nuclear_energy_per_capita,28.168712837404286
fossil_elec_per_capita,27.91632801471532
coal_elec_per_capita,27.745219660349917
oil_elec_per_capita,27.655387774308082
fossil_fuel_consumption,27.39872524275998
gas_consumption,27.39872524275998
coal_consumption,27.39872524275998
low_carbon_consumption,27.39872524275998
hydro_consumption,27.39872524275998
solar_consumption,27.39872524275998
wind_consumption,27.39872524275998
renewables_consumption,27.39872524275998
oil_consumption,27.39872524275998
other_renewable_consumption,27.39872524275998
solar_share_energy,27.287504812422466
oil_share_energy,27.287504812422466
wind_share_energy,27.287504812422466
nuclear_share_energy,27.287504812422466
low_carbon_share_energy,27.287504812422466
coal_share_energy,27.287504812422466
biofuel_share_energy,27.287504812422466
gas_share_energy,27.287504812422466
hydro_share_energy,27.287504812422466
other_renewables_share_energy,27.287504812422466
renewables_share_energy,27.287504812422466
fossil_share_energy,27.287504812422466
electricity_demand,27.28322710356333
gas_elec_per_capita,27.133507293493604
biofuel_cons_per_capita,27.11211874919793
biofuel_electricity,27.107841040338794
carbon_intensity_elec,27.08645249604312
biofuel_share_elec,26.996620610001283
gas_cons_change_twh,26.919621850536853
fossil_cons_change_twh,26.919621850536853
coal_cons_change_twh,26.919621850536853
oil_cons_change_twh,26.919621850536853
other_renewables_cons_change_twh,26.919621850536853
solar_cons_change_twh,26.919621850536853
renewables_cons_change_twh,26.919621850536853
low_carbon_cons_change_twh,26.919621850536853
hydro_cons_change_twh,26.919621850536853
wind_cons_change_twh,26.919621850536853
fossil_cons_change_pct,26.808401420199342
oil_cons_change_pct,26.808401420199342
net_elec_imports,25.90580485092185
electricity_demand_per_capita,25.90580485092185
net_elec_imports_share_demand,25.80313983830261
greenhouse_gas_emissions,25.78602900286607
biofuel_elec_per_capita,25.730418787697307
low_carbon_cons_change_pct,25.247037686615048
renewables_cons_change_pct,25.217093724601103
coal_cons_change_pct,24.92620952217992
other_renewable_exc_biofuel_electricity,24.45138383881593
other_renewables_share_elec_exc_biofuel,24.340163408478418
hydro_cons_change_pct,24.323052573041878
gas_cons_change_pct,24.13911109209907
other_renewables_elec_per_capita_exc_biofuel,23.073961586174445
wind_energy_per_capita,22.008812080249818
solar_energy_per_capita,22.008812080249818
hydro_energy_per_capita,22.008812080249818
gas_energy_per_capita,22.008812080249818
fossil_energy_per_capita,22.008812080249818
coal_cons_per_capita,22.008812080249818
low_carbon_energy_per_capita,22.008812080249818
oil_energy_per_capita,22.008812080249818
renewables_energy_per_capita,22.008812080249818
other_renewables_energy_per_capita,22.008812080249818
electricity_share_energy,17.551439449031097
other_renewables_cons_change_pct,17.05950293023057
wind_cons_change_pct,11.969029387859862
nuclear_cons_change_pct,11.032211147709287
solar_cons_change_pct,10.758437780724645
biofuel_cons_change_pct,8.854857338409548
